Género,Embarque en Línea,Servicio a Bordo,Servicio de Espacio para las Piernas,Manejo de Equipaje,Servicio de Registro,Servicio en Vuelo,cleanliness,Retraso en la Salida en Minutos,Retraso en la Llegada en Minutos
,3,4,3,4,4,5,5,25,18.0
,3,1,5,3,1,4,1,1,6.0
,5,4,3,4,4,4,5,0,0.0
,2,2,5,3,1,4,2,11,9.0
,5,3,4,4,3,3,3,0,0.0
,2,3,4,4,4,4,1,0,0.0
,2,3,3,4,3,5,2,9,23.0
,5,5,5,5,4,5,4,4,0.0
,3,1,2,1,4,1,2,0,0.0
,3,2,3,4,4,3,2,0,0.0
,5,3,3,5,3,5,2,0,0.0
,2,1,2,5,5,5,1,0,0.0
,1,1,1,3,4,4,1,28,8.0
,4,4,5,2,2,2,4,0,0.0
,3,4,3,2,2,1,2,43,35.0
,2,2,1,4,1,3,4,1,0.0
,4,5,3,4,5,4,4,49,51.0
,4,5,5,5,3,5,5,0,10.0
,4,5,5,5,3,5,4,7,5.0
,3,1,2,4,3,2,5,17,18.0
,2,1,5,3,4,3,2,0,4.0
,3,2,5,3,3,4,5,0,0.0
,4,3,3,5,3,3,4,52,29.0
,3,4,4,4,2,4,2,0,0.0
,5,4,5,5,3,5,1,54,44.0
,4,3,2,4,4,5,5,27,28.0
,5,4,4,3,5,4,2,0,0.0
,2,4,4,4,2,4,2,0,8.0
,2,3,3,3,2,3,2,18,12.0
,3,2,4,3,4,2,3,19,0.0
,5,5,4,3,1,5,5,0,0.0
,2,3,1,4,2,4,5,3,0.0
,4,3,4,5,4,3,4,109,120.0
,4,5,4,3,5,5,5,18,24.0
,3,4,1,3,1,4,1,9,0.0
,1,3,5,3,3,3,1,0,1.0
,4,5,4,5,4,5,5,0,0.0
,4,5,1,4,3,4,2,23,20.0
,4,4,4,4,4,4,4,23,31.0
,1,3,3,4,4,4,1,0,0.0
,5,4,4,4,4,4,3,0,0.0
,3,4,4,5,5,5,3,9,23.0
,5,4,4,4,4,4,3,0,0.0
,1,5,5,5,2,5,4,0,0.0
,5,3,3,3,4,3,5,1,15.0
,5,4,2,5,5,4,5,4,0.0
,2,4,5,4,4,5,4,0,0.0
,1,3,5,3,1,4,1,0,0.0
,2,5,5,5,4,5,3,8,0.0
,2,2,3,3,1,3,5,0,0.0
,2,3,3,2,3,3,2,14,8.0
,4,3,4,4,4,5,4,0,1.0
,2,5,5,5,4,5,2,0,0.0
,2,4,4,3,4,1,4,1,0.0
,3,4,2,4,4,4,4,10,10.0
,5,4,4,4,3,4,5,51,48.0
,4,5,5,5,4,5,5,0,5.0
,5,5,5,5,3,5,4,0,0.0
,3,1,1,4,2,3,4,39,26.0
,2,4,2,4,5,5,4,4,0.0
,2,2,1,4,2,4,3,0,0.0
,4,4,4,4,4,4,3,0,0.0
,2,4,4,3,2,2,4,13,1.0
,4,5,5,5,4,5,4,0,0.0
,4,4,4,4,3,4,4,30,15.0
,5,5,4,4,4,4,4,4,0.0
,2,3,2,4,4,5,4,0,0.0
,4,5,5,5,5,5,4,0,0.0
,2,3,2,2,2,3,2,18,12.0
,4,3,3,1,1,4,4,0,0.0
,4,5,5,5,4,5,5,0,0.0
,3,2,5,1,1,2,3,64,49.0
,2,5,4,4,5,5,5,0,2.0
,1,4,4,5,5,5,2,0,37.0
,3,4,4,5,3,4,1,0,0.0
,5,4,2,5,4,5,1,1,1.0
,4,2,2,2,1,2,4,0,6.0
,4,4,5,3,4,4,2,20,5.0
,4,5,2,1,4,4,4,0,0.0
,2,3,5,3,4,5,3,0,0.0
,4,4,2,5,4,4,4,45,48.0
,4,2,3,2,3,3,3,0,0.0
,3,3,2,4,2,4,5,0,8.0
,4,3,4,4,4,5,1,0,0.0
,5,4,4,4,5,4,4,44,50.0
,4,1,2,2,4,2,4,17,3.0
,4,5,3,5,4,5,5,0,0.0
,3,4,4,5,3,5,5,0,0.0
,1,4,4,4,3,4,1,0,0.0
,2,3,1,3,1,4,3,0,0.0
,0,4,5,5,4,5,4,0,0.0
,5,3,4,4,4,4,2,31,19.0
,4,2,2,3,4,2,4,81,72.0
,3,5,5,5,1,5,1,0,0.0
,2,3,2,3,3,3,4,0,11.0
,4,4,3,1,5,2,4,35,34.0
,4,2,2,3,3,1,5,14,18.0
,3,2,1,3,1,3,3,0,0.0
,1,5,1,1,3,4,5,67,62.0
